Messdaten Export		Seriennummer: 2008-208

Messung: , , , , , 

Intervall: 1 sec
Spannung: 229.999 V


Datum/Zeit: 13.10.2022	07:31:15.000 - 13.10.2022	17:28:18.000

Datum	Zeit	UL1	UL2	UL3	UNE	U12	U23	U31	I1	I2	I3	IN	P(H1)	Q(H1)	S(H1)	F	DFDT
13.10.2022	09:07:13.852	231.092	231.210	231.916	0.011	400.281	401.170	400.891	58.201	77.615	65.189	30.508	44626.238	2319.722	44686.488	49.998	0.469
13.10.2022	09:07:13.862	230.915	230.838	231.429	0.011	399.920	400.272	400.355	58.335	76.742	63.794	29.546	45138.598	2513.777	45208.539	50.007	0.963
13.10.2022	09:07:13.872	231.144	231.055	231.576	0.011	400.353	400.541	400.682	60.280	77.098	63.625	29.760	45699.578	2042.110	45745.184	50.004	0.303
13.10.2022	09:07:13.882	230.871	230.852	231.427	0.011	399.895	400.309	400.287	58.570	77.158	64.203	29.442	44628.207	2158.677	44680.383	50.010	0.180
13.10.2022	09:07:13.892	230.785	230.977	231.396	0.011	399.966	400.461	400.077	57.786	78.041	63.467	30.239	45387.922	2183.560	45440.414	50.013	0.464
13.10.2022	09:07:13.902	230.949	230.875	231.570	0.012	399.922	400.459	400.534	58.980	77.389	64.377	29.820	45300.227	2082.958	45348.090	50.015	0.219
13.10.2022	09:07:13.912	230.749	230.563	231.085	0.011	399.614	399.660	399.912	57.613	77.394	63.847	29.379	44446.359	2025.037	44492.469	50.023	0.493
13.10.2022	09:07:13.922	230.885	231.075	231.360	0.012	400.211	400.492	400.083	57.754	78.975	63.955	30.459	46243.500	2020.211	46287.605	50.023	0.394
13.10.2022	09:07:13.932	230.768	230.884	231.537	0.012	399.756	400.561	400.241	56.940	77.985	65.185	30.257	44086.352	2695.142	44168.656	50.027	0.185
13.10.2022	09:07:13.942	230.604	230.433	230.955	0.011	399.385	399.445	399.654	56.617	77.511	63.489	29.997	44908.086	2373.778	44970.777	50.033	0.512
13.10.2022	09:07:13.952	230.881	230.671	231.144	0.012	399.879	399.763	400.063	58.915	78.541	63.630	30.241	45783.363	2680.403	45861.758	50.031	0.223
13.10.2022	09:07:13.962	230.707	230.700	231.271	0.012	399.641	400.058	399.976	57.811	79.179	64.906	30.517	45339.766	2064.660	45386.750	50.035	0.131
13.10.2022	09:07:13.972	230.822	231.205	231.580	0.011	400.176	400.926	400.182	57.731	80.230	64.856	31.347	46325.723	2085.873	46372.660	50.035	0.198
13.10.2022	09:07:13.982	231.143	231.450	232.176	0.011	400.465	401.716	401.118	59.706	79.153	66.112	30.931	46438.211	1706.695	46469.563	50.036	0.024
13.10.2022	09:07:13.992	231.132	231.484	232.068	0.011	400.551	401.636	400.963	59.254	78.740	65.305	30.570	45581.016	1373.140	45601.695	50.050	0.740
13.10.2022	09:07:14.002	231.493	232.587	232.717	0.012	401.885	403.392	401.538	60.213	80.739	66.008	32.635	48097.371	-363.870	48098.746	50.060	1.196
13.10.2022	09:07:14.012	231.560	232.959	233.247	0.012	402.084	404.367	402.045	59.518	79.602	68.073	32.573	45530.293	84.681	45530.371	50.081	1.536
13.10.2022	09:07:14.022	231.531	232.679	232.913	0.012	401.906	403.710	401.761	59.101	78.479	65.809	31.491	46478.316	1253.194	46495.211	50.109	2.474
13.10.2022	09:07:14.032	231.872	232.983	233.242	0.012	402.479	404.274	402.305	61.688	79.756	65.853	31.788	47719.754	537.217	47722.777	50.133	2.608
13.10.2022	09:07:14.042	231.627	232.932	233.129	0.012	402.212	404.265	401.871	59.987	81.920	67.805	32.785	47654.563	897.347	47663.008	50.165	2.801
13.10.2022	09:07:14.052	231.481	233.019	232.774	0.012	402.324	404.040	401.267	60.367	83.777	67.787	32.642	48755.273	2185.903	48804.250	50.222	3.100
13.10.2022	09:07:14.062	231.478	233.108	232.986	0.012	402.288	404.355	401.505	63.449	82.809	68.748	30.408	49131.906	1489.374	49154.477	50.258	2.877
13.10.2022	09:07:14.072	231.168	232.807	232.517	0.011	401.850	403.646	400.780	62.560	82.487	68.183	30.030	47837.594	1616.687	47864.906	50.285	3.209
13.10.2022	09:07:14.082	231.260	233.395	232.466	0.012	402.659	404.205	400.501	62.967	83.836	68.145	30.666	50016.148	1383.458	50035.277	50.317	3.142
13.10.2022	09:07:14.092	231.057	233.443	232.714	0.011	402.323	404.704	400.499	62.709	82.199	71.176	31.608	48132.602	481.023	48135.004	50.354	2.931
13.10.2022	09:07:14.102	230.700	232.690	232.026	0.011	401.453	403.269	399.695	62.638	80.797	71.143	32.224	48895.953	987.222	48905.918	50.381	3.490
13.10.2022	09:07:14.112	230.732	232.856	231.664	0.011	401.834	402.985	399.307	65.593	82.163	71.486	29.215	50605.414	1975.245	50643.949	50.411	3.229
13.10.2022	09:07:14.122	230.240	232.644	231.277	0.010	401.192	402.570	398.470	65.362	83.123	72.690	25.776	50017.516	1642.675	50044.484	50.436	2.842
13.10.2022	09:07:14.132	229.960	232.157	230.704	0.010	400.621	401.479	397.810	66.470	83.479	72.136	25.491	50829.227	2028.455	50869.688	50.453	2.769
13.10.2022	09:07:14.142	229.980	232.061	230.631	0.010	400.546	401.266	397.839	68.641	83.553	73.587	24.788	51745.461	1572.012	51769.332	50.475	2.125
13.10.2022	09:07:14.152	229.503	231.534	230.118	0.010	399.687	400.330	397.007	68.985	84.266	73.804	23.764	51378.133	1762.904	51408.367	50.488	1.984
13.10.2022	09:07:14.162	229.506	231.608	229.854	0.010	399.906	400.072	396.720	70.943	84.840	73.401	23.728	52735.422	1880.625	52768.945	50.499	1.771
13.10.2022	09:07:14.172	229.300	231.328	229.898	0.010	399.326	399.931	396.675	70.668	83.985	74.266	23.289	51205.398	2098.182	51248.367	50.513	1.206
13.10.2022	09:07:14.182	228.899	230.395	229.260	0.011	398.172	398.341	396.003	70.334	83.130	72.411	22.712	51076.672	1933.169	51113.242	50.515	1.256
13.10.2022	09:07:14.192	229.151	230.617	229.120	0.011	398.796	398.271	396.026	71.985	83.809	72.067	23.293	52156.945	2026.061	52196.281	50.519	0.810
13.10.2022	09:07:14.202	228.838	230.495	229.089	0.011	398.321	398.294	395.673	70.936	84.185	72.888	23.171	51148.070	1467.972	51169.133	50.521	0.324
13.10.2022	09:07:14.212	228.624	229.922	228.697	0.011	397.622	397.293	395.330	70.430	82.934	72.123	22.364	50826.383	2092.703	50869.445	50.514	0.308
13.10.2022	09:07:14.222	228.902	230.026	228.857	0.011	397.969	397.436	395.777	71.706	82.948	72.652	23.021	51965.543	1864.965	51998.996	50.514	-0.254
13.10.2022	09:07:14.232	228.706	229.854	228.721	0.011	397.658	397.218	395.437	71.418	84.417	72.820	23.642	51400.953	2027.233	51440.914	50.506	-0.345
13.10.2022	09:07:14.242	228.905	230.009	228.707	0.011	398.056	397.239	395.605	72.041	84.426	73.332	23.496	52577.781	1674.245	52604.434	50.497	-0.419
13.10.2022	09:07:14.252	229.027	230.078	229.121	0.011	398.040	397.749	396.160	72.173	84.032	74.764	23.770	51991.383	2053.939	52031.938	50.494	-0.874
13.10.2022	09:07:14.262	228.889	229.608	228.963	0.011	397.451	397.113	396.059	72.342	83.758	73.486	23.662	51801.406	2043.096	51841.680	50.480	-0.591
13.10.2022	09:07:14.272	229.549	230.183	229.184	0.011	398.745	397.629	396.772	74.079	84.194	73.216	24.583	53043.902	2163.952	53088.023	50.470	-0.855
13.10.2022	09:07:14.282	229.602	230.528	229.515	0.011	399.032	398.396	396.977	72.760	85.486	74.007	25.162	52280.672	1931.993	52316.359	50.462	-1.212
13.10.2022	09:07:14.292	229.610	230.228	229.555	0.011	398.670	398.104	397.198	72.786	84.682	73.824	24.342	52582.352	1963.129	52618.984	50.449	-0.918
13.10.2022	09:07:14.302	230.362	230.799	230.055	0.011	399.907	398.906	398.319	73.973	84.533	74.598	25.167	53295.422	2218.128	53341.559	50.444	-1.079
13.10.2022	09:07:14.312	230.481	231.077	230.197	0.011	400.299	399.335	398.431	72.735	85.725	73.683	25.804	52223.773	2136.560	52267.461	50.434	-0.912
13.10.2022	09:07:14.322	230.804	231.220	230.388	0.011	400.708	399.541	398.952	73.070	84.961	74.165	25.285	53443.559	2224.197	53489.820	50.428	-0.746
13.10.2022	09:07:14.332	231.148	231.577	230.928	0.011	401.195	400.389	399.768	73.060	84.742	76.353	25.104	53288.828	2146.174	53332.027	50.428	-0.805
13.10.2022	09:07:14.342	231.087	231.336	230.871	0.011	400.893	400.077	399.760	73.239	84.673	74.862	24.958	52721.563	2661.345	52788.691	50.419	-0.301
13.10.2022	09:07:14.352	231.706	231.757	231.110	0.011	401.958	400.463	400.525	75.310	85.236	74.789	25.684	54637.813	2329.436	54687.445	50.416	-0.436
13.10.2022	09:07:14.362	231.875	232.246	231.456	0.011	402.533	401.335	400.818	73.923	86.654	75.830	26.380	53403.336	2106.253	53444.855	50.412	-0.590
13.10.2022	09:07:14.372	231.773	231.879	231.476	0.011	401.973	401.005	400.929	73.417	85.068	74.814	25.313	53172.422	2106.845	53214.145	50.404	-0.370
13.10.2022	09:07:14.382	232.498	232.297	231.857	0.011	403.063	401.517	401.969	74.874	85.236	75.930	26.038	54834.434	2363.485	54885.348	50.407	-0.612
13.10.2022	09:07:14.392	232.614	232.628	231.870	0.011	403.590	401.834	401.919	73.745	86.799	75.097	26.475	53071.125	2351.878	53123.211	50.403	-0.231
13.10.2022	09:07:14.402	232.646	232.397	231.905	0.011	403.325	401.606	402.128	73.319	85.323	74.530	25.611	53649.387	2352.385	53700.934	50.403	-0.052
13.10.2022	09:07:14.412	232.872	232.556	232.247	0.011	403.568	402.079	402.672	72.861	84.968	76.397	25.441	53652.266	2569.604	53713.762	50.410	-0.199
13.10.2022	09:07:14.422	232.694	232.289	231.997	0.011	403.207	401.567	402.342	72.801	84.734	74.563	25.076	52577.148	2444.663	52633.953	50.408	0.364
13.10.2022	09:07:14.432	233.017	232.283	232.019	0.011	403.559	401.378	402.764	74.262	84.720	73.931	25.294	54057.082	2407.039	54110.645	50.412	0.249
13.10.2022	09:07:14.442	233.024	232.530	232.121	0.011	403.794	401.801	402.724	73.033	85.767	74.749	25.289	52984.840	1952.763	53020.813	50.415	0.084
13.10.2022	09:07:14.452	232.597	231.965	231.883	0.011	402.780	401.129	402.277	72.235	84.240	73.585	24.175	52313.801	2138.783	52357.504	50.414	0.370
13.10.2022	09:07:14.462	233.162	232.071	232.098	0.012	403.425	401.175	403.125	73.610	84.001	74.265	24.654	53896.094	2122.759	53937.883	50.421	0.090
13.10.2022	09:07:14.472	233.220	232.295	231.920	0.011	403.864	401.190	402.847	72.952	85.449	73.574	25.179	52387.516	2322.827	52438.984	50.422	0.305
13.10.2022	09:07:14.482	232.710	231.759	231.737	0.011	402.749	400.658	402.366	72.804	84.428	73.587	24.154	53179.188	2236.841	53226.207	50.428	0.436
13.10.2022	09:07:14.492	232.861	231.746	231.978	0.011	402.762	400.861	402.806	73.045	84.628	75.818	23.919	53693.172	2391.984	53746.426	50.440	0.315
13.10.2022	09:07:14.502	232.603	231.490	231.600	0.012	402.397	400.254	402.233	73.350	84.626	74.296	23.540	52514.051	2306.728	52564.688	50.441	0.878
13.10.2022	09:07:14.512	232.551	231.243	231.538	0.012	402.080	399.926	402.251	74.042	83.935	73.380	24.097	53141.445	2310.211	53191.637	50.448	0.658
13.10.2022	09:07:14.522	232.430	231.400	231.591	0.012	402.102	400.247	402.062	72.594	84.750	73.922	24.486	52532.328	1949.823	52568.500	50.454	0.398
13.10.2022	09:07:14.532	231.789	230.881	231.228	0.012	400.962	399.598	401.213	72.102	83.445	73.340	23.199	51895.445	1942.521	51931.789	50.457	0.807
13.10.2022	09:07:14.542	232.152	230.852	231.435	0.012	401.216	399.616	401.879	72.766	83.104	74.052	23.807	53006.969	2064.360	53047.152	50.467	0.977
13.10.2022	09:07:14.552	232.107	231.044	231.273	0.012	401.496	399.657	401.530	72.158	84.653	73.236	24.221	51989.332	2010.011	52028.176	50.471	0.706
13.10.2022	09:07:14.562	231.433	230.584	231.046	0.011	400.306	399.259	400.763	71.983	83.752	73.222	23.487	52312.828	2130.106	52356.176	50.478	0.527
13.10.2022	09:07:14.572	231.597	230.645	231.355	0.011	400.382	399.600	401.270	72.313	83.540	75.155	23.559	53008.016	1821.132	53039.289	50.491	1.025
13.10.2022	09:07:14.582	231.346	230.517	230.988	0.011	400.168	399.144	400.648	72.699	83.670	73.912	23.561	51893.891	1915.232	51929.223	50.495	0.873
13.10.2022	09:07:14.592	231.083	230.257	230.896	0.011	399.602	398.907	400.386	73.319	83.657	73.623	23.670	53033.891	2061.847	53073.953	50.504	0.657
13.10.2022	09:07:14.602	231.024	230.493	231.015	0.011	399.752	399.343	400.311	72.052	84.366	74.159	23.948	51939.293	1944.546	51975.680	50.512	0.879
13.10.2022	09:07:14.612	230.471	230.135	230.675	0.011	398.907	398.820	399.516	71.917	83.280	73.205	22.988	51899.637	1965.020	51936.820	50.514	0.494
13.10.2022	09:07:14.622	230.960	230.186	230.951	0.011	399.349	398.954	400.351	72.636	83.308	73.974	23.775	52692.406	1952.274	52728.559	50.523	0.546
13.10.2022	09:07:14.632	231.107	230.556	230.884	0.011	400.003	399.183	400.246	72.177	84.296	73.411	24.686	51912.809	1948.228	51949.352	50.525	0.567
13.10.2022	09:07:14.642	230.570	230.311	230.726	0.011	399.172	399.013	399.618	71.707	82.473	73.013	23.814	51305.102	1301.613	51321.609	50.530	0.357
13.10.2022	09:07:14.652	230.877	230.494	231.138	0.011	399.498	399.526	400.345	71.889	82.086	74.615	24.157	52647.453	1486.036	52668.422	50.542	0.861
13.10.2022	09:07:14.662	230.879	230.515	230.898	0.011	399.682	399.228	400.083	72.663	82.569	73.417	24.212	51311.402	1241.197	51326.410	50.543	0.647
13.10.2022	09:07:14.672	230.802	230.362	230.892	0.011	399.404	399.123	400.056	72.824	82.663	72.883	24.547	52470.438	1893.868	52504.605	50.546	0.204
13.10.2022	09:07:14.682	230.904	230.648	231.116	0.011	399.736	399.651	400.257	72.638	84.088	73.584	24.911	52317.973	1013.396	52327.785	50.550	0.377
13.10.2022	09:07:14.692	230.597	230.463	230.905	0.010	399.300	399.343	399.786	72.928	83.235	73.404	24.308	52060.043	1301.846	52076.316	50.548	0.098
13.10.2022	09:07:14.702	231.144	230.616	231.321	0.010	399.842	399.720	400.797	73.565	82.845	74.444	24.833	53050.141	911.297	53057.965	50.552	0.073
13.10.2022	09:07:14.712	231.416	231.041	231.380	0.010	400.635	400.108	400.927	72.899	84.201	73.670	25.810	52100.824	1474.154	52121.676	50.549	0.064
13.10.2022	09:07:14.722	230.903	230.816	231.255	0.011	399.849	400.000	400.327	72.114	82.894	73.348	24.893	51820.070	1257.365	51835.320	50.549	-0.138
13.10.2022	09:07:14.732	231.311	231.010	231.745	0.011	400.255	400.570	401.242	72.314	82.552	74.890	25.136	52864.523	1518.826	52886.336	50.556	0.330
13.10.2022	09:07:14.742	231.344	231.089	231.553	0.011	400.516	400.367	401.046	73.560	82.882	73.759	25.272	51995.801	1336.558	52012.977	50.551	0.098
13.10.2022	09:07:14.752	231.253	231.008	231.574	0.011	400.281	400.384	401.002	73.637	82.520	73.499	24.956	52614.070	1872.829	52647.391	50.550	-0.290
13.10.2022	09:07:14.762	231.386	231.345	231.858	0.011	400.677	401.015	401.280	73.425	83.692	74.248	25.581	52888.797	1560.726	52911.820	50.550	-0.064
13.10.2022	09:07:14.772	231.130	231.197	231.665	0.011	400.329	400.735	400.874	73.988	82.826	73.827	24.979	52223.215	1443.095	52243.152	50.544	-0.323
13.10.2022	09:07:14.782	231.683	231.343	232.062	0.011	400.882	401.084	401.872	74.395	82.962	74.938	25.220	53816.078	1558.494	53838.641	50.545	-0.232
13.10.2022	09:07:14.792	231.926	231.732	232.120	0.011	401.590	401.439	402.003	74.366	84.636	74.252	25.748	52764.855	1588.781	52788.770	50.541	-0.156
13.10.2022	09:07:14.802	231.400	231.513	231.946	0.011	400.818	401.303	401.319	73.379	83.167	74.315	24.840	52564.086	1740.557	52592.895	50.538	-0.360
13.10.2022	09:07:14.812	231.882	231.678	232.388	0.011	401.251	401.785	402.296	73.806	83.165	76.337	24.920	53845.254	359.402	53846.453	50.543	0.109
13.10.2022	09:07:14.822	232.095	231.741	232.174	0.011	401.671	401.482	402.290	74.849	83.909	75.027	25.022	52620.832	195.217	52621.195	50.534	-0.219
13.10.2022	09:07:14.832	231.772	231.584	232.092	0.011	401.194	401.389	401.881	73.858	83.403	74.581	24.530	53094.563	1906.924	53128.797	50.531	-0.621
13.10.2022	09:07:14.842	231.631	231.786	232.224	0.011	401.250	401.814	401.731	72.555	84.098	74.956	24.860	52720.395	1641.660	52745.949	50.532	-0.077
13.10.2022	09:07:14.852	231.195	231.475	231.879	0.011	400.601	401.265	401.040	72.961	82.861	73.940	24.083	52100.305	1707.894	52128.289	50.523	-0.364
13.10.2022	09:07:14.862	231.675	231.516	232.181	0.011	400.998	401.434	401.898	73.012	82.539	74.616	24.459	53026.465	1410.206	53045.211	50.520	-0.637
13.10.2022	09:07:14.872	231.824	231.814	232.138	0.011	401.561	401.621	401.848	72.639	84.007	73.801	25.356	52245.023	1695.348	52272.520	50.512	-0.575
13.10.2022	09:07:14.882	231.219	231.459	231.877	0.011	400.599	401.262	401.053	71.833	82.752	73.296	24.303	51682.672	1611.328	51707.785	50.509	-0.552
13.10.2022	09:07:14.892	231.521	231.529	232.249	0.011	400.811	401.617	401.775	71.799	82.280	74.693	24.630	52736.727	1874.848	52770.043	50.513	0.048
13.10.2022	09:07:14.902	231.485	231.484	231.932	0.011	400.922	401.171	401.420	73.136	82.966	73.489	24.557	52005.250	1361.449	52023.066	50.507	-0.061
13.10.2022	09:07:14.912	231.339	231.296	231.824	0.011	400.572	400.965	401.211	72.924	83.394	73.600	24.207	52875.594	1872.519	52908.742	50.508	-0.254
13.10.2022	09:07:14.922	231.465	231.555	232.028	0.011	400.910	401.427	401.433	72.563	84.424	74.601	24.807	52865.258	1392.229	52883.582	50.508	0.051
13.10.2022	09:07:14.932	231.124	231.288	231.728	0.011	400.397	400.924	400.875	73.059	83.482	74.115	24.166	52320.039	1462.182	52340.465	50.505	-0.166
13.10.2022	09:07:14.942	231.566	231.311	232.028	0.011	400.726	401.089	401.706	73.308	83.034	74.947	24.274	53284.766	1351.693	53301.906	50.510	0.103
13.10.2022	09:07:14.952	231.775	231.629	231.992	0.011	401.366	401.283	401.721	72.947	84.314	74.198	24.985	52456.977	1419.074	52476.164	50.511	0.325
13.10.2022	09:07:14.962	231.208	231.338	231.745	0.011	400.515	400.983	400.959	72.251	83.004	74.044	24.001	52123.375	1573.878	52147.133	50.515	0.212
13.10.2022	09:07:14.972	231.524	231.392	232.132	0.011	400.700	401.338	401.730	72.439	82.414	75.755	24.009	53140.406	1666.527	53166.531	50.526	0.773
13.10.2022	09:07:14.982	231.497	231.345	231.820	0.011	400.820	400.886	401.395	73.426	82.514	74.309	24.298	51875.180	1426.007	51894.777	50.529	0.707
13.10.2022	09:07:14.992	231.304	231.160	231.675	0.011	400.451	400.643	401.099	72.701	82.268	73.751	23.710	52420.359	1544.229	52443.098	50.536	0.496
13.10.2022	09:07:15.002	231.389	231.544	231.876	0.011	400.909	401.213	401.236	72.365	83.734	74.789	25.574	52723.430	132.796	52723.598	50.543	0.749
13.10.2022	09:07:15.012	231.040	231.409	231.580	0.011	400.528	400.862	400.622	72.958	82.946	74.095	26.225	51674.473	73.118	51674.523	50.546	0.493
13.10.2022	09:07:15.022	231.411	231.206	231.816	0.011	400.547	400.792	401.366	72.888	83.246	74.510	25.332	53345.656	1186.049	53358.840	50.555	0.493
13.10.2022	09:07:15.032	231.554	231.304	231.746	0.011	400.894	400.743	401.361	73.178	85.133	74.068	25.115	52736.051	1270.448	52751.352	50.557	0.574
13.10.2022	09:07:15.042	230.977	231.002	231.438	0.011	400.048	400.381	400.514	72.070	83.618	74.060	24.157	51955.078	1435.378	51974.898	50.561	0.561
13.10.2022	09:07:15.052	231.211	231.042	231.782	0.012	400.149	400.702	401.161	72.355	83.069	75.806	24.000	53472.996	1502.200	53494.090	50.572	0.320
13.10.2022	09:07:15.062	231.203	231.000	231.474	0.012	400.290	400.253	400.848	73.492	83.188	74.434	24.292	51832.586	1239.707	51847.410	50.573	0.780
13.10.2022	09:07:15.072	230.950	230.802	231.316	0.012	399.837	400.023	400.476	72.758	82.894	73.984	23.748	52768.016	1418.531	52787.078	50.577	0.603
13.10.2022	09:07:15.082	231.086	231.041	231.726	0.011	400.086	400.697	400.917	72.311	83.801	74.782	26.552	52306.703	-82.879	52306.770	50.582	0.251
13.10.2022	09:07:15.092	230.779	230.787	231.596	0.011	399.570	400.403	400.535	73.032	82.445	73.876	27.914	51758.332	133.030	51758.504	50.581	0.458
13.10.2022	09:07:15.102	231.174	230.793	231.629	0.012	399.916	400.298	401.041	72.512	82.156	74.441	25.593	52481.945	1099.570	52493.465	50.588	0.197
13.10.2022	09:07:15.112	231.282	231.075	231.390	0.012	400.482	400.251	400.778	72.307	83.835	74.118	24.409	52458.012	1316.314	52474.523	50.589	0.312
13.10.2022	09:07:15.122	230.723	230.784	231.169	0.011	399.634	399.966	400.056	71.623	82.660	74.120	23.664	51476.332	1052.940	51487.102	50.592	0.382
13.10.2022	09:07:15.132	231.038	230.834	231.608	0.012	399.800	400.370	400.881	71.551	82.021	75.279	24.225	52733.219	1701.533	52760.660	50.601	0.167
13.10.2022	09:07:15.142	230.985	230.771	231.275	0.011	399.880	399.896	400.496	73.250	82.539	73.832	24.314	51755.125	1057.555	51765.930	50.600	0.609
13.10.2022	09:07:15.152	230.738	230.585	231.119	0.011	399.454	399.683	400.115	72.736	83.132	73.911	23.800	52802.047	1782.271	52832.113	50.602	0.418
13.10.2022	09:07:15.162	230.928	230.867	231.414	0.011	399.848	400.229	400.506	72.800	84.741	74.915	24.788	53095.672	1019.567	53105.461	50.604	0.082
13.10.2022	09:07:15.172	230.712	230.697	231.184	0.011	399.552	399.850	400.113	73.498	83.562	74.221	24.592	52131.953	1663.727	52158.492	50.600	0.214
13.10.2022	09:07:15.182	231.102	230.766	231.538	0.011	399.847	400.157	400.918	73.463	82.924	74.581	24.488	53105.250	956.969	53113.871	50.604	-0.149
13.10.2022	09:07:15.192	231.405	231.164	231.641	0.011	400.612	400.546	401.158	73.427	84.528	74.013	25.575	52698.141	1365.158	52715.820	50.603	0.009
13.10.2022	09:07:15.202	230.937	230.991	231.454	0.011	399.978	400.399	400.504	72.321	83.092	73.998	24.775	51779.414	1106.434	51791.234	50.603	0.192
13.10.2022	09:07:15.212	231.330	231.125	231.951	0.011	400.283	400.928	401.444	72.012	82.119	75.182	24.946	52751.375	1839.437	52783.434	50.611	-0.046
13.10.2022	09:07:15.222	231.391	231.164	231.714	0.011	400.557	400.611	401.250	73.876	82.521	73.783	25.154	52133.836	1261.111	52149.086	50.609	0.385
13.10.2022	09:07:15.232	231.169	231.083	231.600	0.011	400.246	400.550	400.899	73.381	83.036	74.205	24.102	53009.109	1461.905	53029.262	50.611	0.300
13.10.2022	09:07:15.242	231.412	231.420	231.948	0.011	400.733	401.199	401.372	72.661	84.234	75.166	25.293	52912.047	1143.498	52924.402	50.612	0.018
13.10.2022	09:07:15.252	231.216	231.241	231.726	0.011	400.447	400.810	401.013	73.038	82.678	73.863	25.056	51728.094	1607.871	51753.078	50.608	0.156
13.10.2022	09:07:15.262	231.530	231.264	232.018	0.011	400.635	401.045	401.678	72.659	82.593	74.563	24.716	53153.918	1380.860	53171.852	50.611	-0.184
13.10.2022	09:07:15.272	231.739	231.592	232.041	0.010	401.258	401.309	401.761	73.495	84.973	74.491	25.500	53247.375	1554.994	53270.074	50.610	-0.046
13.10.2022	09:07:15.282	231.253	231.399	231.776	0.010	400.625	401.053	401.015	72.784	83.920	74.642	24.534	52266.438	1428.433	52285.953	50.609	0.115
13.10.2022	09:07:15.292	231.581	231.507	232.249	0.011	400.837	401.547	401.885	73.017	83.250	76.450	24.636	53970.992	1947.040	54006.102	50.614	-0.141
13.10.2022	09:07:15.302	231.688	231.524	232.027	0.011	401.123	401.211	401.766	74.207	83.049	74.687	25.040	51867.234	1406.491	51886.301	50.610	0.218
13.10.2022	09:07:15.312	231.363	231.359	231.825	0.010	400.658	401.013	401.228	72.619	82.678	73.729	24.267	52645.523	1703.242	52673.070	50.609	0.052
13.10.2022	09:07:15.322	231.519	231.598	232.082	0.011	400.982	401.493	401.553	72.012	84.087	74.519	25.019	52676.281	1223.209	52690.480	50.610	-0.250
13.10.2022	09:07:15.332	231.263	231.346	231.782	0.011	400.584	400.968	401.078	72.688	82.748	73.580	24.666	51736.406	1874.275	51770.344	50.605	0.022
13.10.2022	09:07:15.342	231.511	231.312	232.012	0.011	400.669	401.094	401.636	72.047	82.327	74.120	24.306	52526.992	1333.546	52543.918	50.607	-0.238
13.10.2022	09:07:15.352	231.708	231.611	231.995	0.011	401.266	401.291	401.673	72.139	83.916	73.476	25.231	52223.414	1931.913	52259.133	50.604	-0.135
13.10.2022	09:07:15.362	231.154	231.337	231.708	0.011	400.474	400.963	400.859	72.247	83.313	73.628	24.278	52245.281	1137.144	52257.656	50.603	-0.021
13.10.2022	09:07:15.372	231.496	231.401	232.201	0.011	400.656	401.427	401.771	72.799	83.615	75.993	24.854	53830.266	2032.824	53868.637	50.609	-0.238
13.10.2022	09:07:15.382	231.611	231.392	231.962	0.011	400.936	401.032	401.657	74.550	83.937	74.715	25.249	52562.941	1230.024	52577.332	50.605	0.229
13.10.2022	09:07:15.392	231.308	231.220	231.767	0.011	400.483	400.820	401.159	73.203	83.761	74.077	24.460	52842.617	1801.320	52873.313	50.608	0.138
13.10.2022	09:07:15.402	231.481	231.471	232.052	0.011	400.818	401.336	401.537	72.899	84.840	75.054	25.227	53472.645	1037.518	53482.711	50.611	-0.050
13.10.2022	09:07:15.412	231.280	231.246	231.782	0.011	400.491	400.849	401.145	73.657	83.613	74.348	24.689	52171.188	1558.629	52194.465	50.609	0.277
13.10.2022	09:07:15.422	231.525	231.218	232.038	0.011	400.573	401.002	401.730	72.985	83.079	74.665	24.574	53148.445	1227.459	53162.617	50.615	0.060
13.10.2022	09:07:15.432	231.787	231.519	232.057	0.011	401.219	401.214	401.881	72.736	84.183	73.782	25.337	52206.387	1650.911	52232.484	50.616	0.209
13.10.2022	09:07:15.442	231.172	231.236	231.695	0.011	400.385	400.829	400.917	71.925	82.948	73.593	24.202	51949.617	1260.053	51964.898	50.619	0.351
13.10.2022	09:07:15.452	231.426	231.261	232.116	0.011	400.455	401.206	401.682	72.419	82.787	75.595	24.232	53371.961	1635.493	53397.016	50.630	0.176
13.10.2022	09:07:15.462	231.544	231.247	231.874	0.011	400.733	400.794	401.579	74.087	82.870	74.233	25.019	52052.121	1405.316	52071.090	50.629	0.693
13.10.2022	09:07:15.472	231.120	231.043	231.609	0.011	400.143	400.521	400.893	72.796	82.263	73.348	23.939	52049.961	1650.437	52076.121	50.632	0.520
13.10.2022	09:07:15.482	231.249	231.236	231.865	0.011	400.380	400.968	401.210	72.806	83.623	74.267	24.708	53179.375	1278.455	53194.738	50.637	0.123
13.10.2022	09:07:15.492	231.084	230.995	231.579	0.011	400.080	400.429	400.851	74.306	83.048	74.142	24.424	52321.828	1441.851	52341.691	50.635	0.405
13.10.2022	09:07:15.502	231.278	230.965	231.796	0.011	400.133	400.564	401.323	73.091	83.125	74.878	24.161	53069.063	1463.899	53089.246	50.640	0.154
13.10.2022	09:07:15.512	231.534	231.250	231.810	0.011	400.759	400.756	401.467	72.963	84.704	74.123	24.920	52696.113	1588.462	52720.047	50.640	0.164
13.10.2022	09:07:15.522	231.004	231.010	231.446	0.011	400.076	400.373	400.569	72.145	83.493	74.165	24.034	52014.023	1070.110	52025.031	50.643	0.272
